provider_id,provider_role_raw,exp_yrs,shift_code,active_ind
PR00001,ATTENDING,17,EVE,Y
PR00002,NP,7,EVE,Y
PR00003,RESIDENT,2,DAY,Y
PR00004,RESIDENT,3,DAY,Y
PR00005,PA,11,EVE,Y
PR00006,NP,10,EVE,Y
PR00007,ATTENDING,17,EVE,Y
PR00008,PA,13,DAY,Y
PR00009,ATTENDING,7,NGT,Y
PR00010,RES,1,DAY,Y
PR00011,ATTENDING,12,EVE,Y
PR00012,NP,16,NGT,Y
PR00013,PA,5,EVE,Y
PR00014,NP,5,NGT,Y
PR00015,RESIDENT,1,DAY,Y
PR00016,PA,10,DAY,Y
PR00017,PA,9,EVE,Y
PR00018,PA,16,DAY,Y
PR00019,ATTENDING,22,EVE,Y
PR00020,RESIDENT,3,DAY,Y
PR00021,ATTENDING,14,NGT,Y
PR00022,ATTENDING,24,DAY,Y
PR00023,ATTENDING,10,DAY,Y
PR00024,RESIDENT,4,NGT,Y
PR00025,RESIDENT,1,EVE,Y
PR00026,NP,9,DAY,Y
PR00027,RESIDENT,1,DAY,Y
PR00028,ATTENDING,15,NGT,Y
PR00029,RESIDENT,3,NGT,Y
PR00030,NP,7,EVE,Y
PR00031,ATTENDING,21,NGT,Y
PR00032,ATTENDING,7,EVE,Y
PR00033,RESIDENT,2,DAY,Y
PR00034,ATTENDING,22,NGT,Y
PR00035,PA,3,EVE,Y
PR00036,ATTENDING,20,DAY,Y
PR00037,ATTENDING,20,EVE,Y
PR00038,RESIDENT,3,EVE,Y
PR00039,ATTENDING,13,NGT,Y
PR00040,NP,3,NGT,Y
PR00041,RESIDENT,3,NGT,Y
PR00042,NP,15,NGT,Y
PR00043,ATTENDING,11,DAY,Y
PR00044,RESIDENT,4,DAY,Y
PR00045,RESIDENT,1,DAY,Y
PR00046,PA,3,DAY,Y
PR00047,ATTENDING,24,EVE,Y
PR00048,PA,15,EVE,Y
PR00049,RESIDENT,2,NGT,Y
PR00050,ATTENDING,9,NGT,Y
PR00051,PA,5,DAY,Y
PR00052,ATTENDING,18,DAY,Y
PR00053,PA,9,DAY,Y
PR00054,RESIDENT,1,DAY,Y
PR00055,RESIDENT,3,DAY,Y
PR00056,ATTENDING,16,DAY,Y
PR00057,NP,12,EVE,Y
PR00058,RESIDENT,1,DAY,Y
